GroupId,GroupName,Preference,Id,Product,Amount,Measure,Energie,FatTotal,Protein,CarbsTotal,Sugar,Starch,Fibre,Water,PUFA3,K,CA,P,MG,FE,CU,SE,ZN,IOD,VITA,VITC,VITD,VITE,VITK,VITB6,VITB12,FIBWAT,FIBFAT,FATPROT
22,"Suiker, snoep, zoet beleg en zoete sauzen",,2385,Salmiakkogel/-lolly,100,g,375,0,1.2,92.3,68.3,24,0.3,6,0,28,15,5,6,0.5,0.06,0,0.06,0,0,0,0,0,,0,0,6.3,0.3,1.2
18,Peulvruchten,,5170,Bonen cannellini blik/glas,100,g,113,1.1,7.1,15,0.6,14.4,7.1,69,0.3,305,69,129,43,2.7,0.28,3,0.93,0.5,0,0,0,0.1,2.5,0.025,0,76.1,8.2,8.2
14,Kruiden en specerijen,,1235,Selderij blad- vers,100,g,16,0,1,2,2,0,1.8,90,0,700,80,40,10,0.1,,,1.2,,0,60,0,,,1.2,0,91.8,1.8,1
22,"Suiker, snoep, zoet beleg en zoete sauzen",,3360,Stroop appel- peren,100,g,253,0,1.1,60.3,52.5,7.8,3.8,33.1,0,599,24,86,82,3.1,0.14,0,0.81,0,0,1,0,0,0.6,0.088,0,36.9,3.8,1.1
12,Hartige snacks en zoutjes,,630,Popcorn gepoft z olie naturel,100,g,386,4,13,72,0,72,5,4,0,240,11,281,86,1.1,0.42,1,0.1,2,0,0,0,0,,0,0,9,9,17
12,Hartige snacks en zoutjes,,3235,Popcorn gepoft z olie m zout,100,g,377,3.9,12.7,70.3,0,70.3,4.9,3.9,0,234,11,274,84,1.1,0.41,1,0.1,3,0,0,0,0,,0,0,8.8,8.8,16.6
3,Brood,,3326,Brood volkoren- fijn m pompoenpitten,100,g,274,7.5,13.2,35,1.8,33.2,6.8,35,0.1,289,34,313,123,2.7,0.22,4,2.21,50.2,0,0,0,0.2,,0.11,0,41.8,14.3,20.7
3,Brood,,1011,Brood rogge- donker Na-,100,g,201,1.3,5.6,37.6,8.2,29.4,8.3,47.2,0.1,241,33,174,57,2.7,0.18,1,1.5,,0,0,0,0.9,,0.2,0,55.5,9.6,6.9
3,Brood,,242,Brood rogge- donker,100,g,193,1.3,5.6,35.6,8.2,27.4,8.3,47.2,0.1,241,33,174,57,2.7,0.18,1,1.5,64.2,0,0,0,0.9,,0.2,0,55.5,9.6,6.9
3,Brood,,2494,Brood Blue Band Goede Start Lichtbruin,100,g,223,1,11,39,1.5,37.5,7,42,0,316,29,142,43,2.6,0.16,4,1.43,38.5,0,0,0,,,0.25,0,49,8,12
12,Hartige snacks en zoutjes,,2387,Popcorn gepoft z olie zoet,100,g,389,3,9.9,78.7,24,54.7,3.8,3,0,183,8,214,66,0.9,0.32,1,0.08,1.5,0,0,0,0,,0,0,6.8,6.8,12.9
22,"Suiker, snoep, zoet beleg en zoete sauzen",,2691,Kauwbonbon fruitsmaak,100,g,395,6.6,1,82.9,56.8,26.2,0.1,9.4,0,5,4,3,2,0.2,0.05,0,0.04,,0,0,0,0,,0,0,9.5,6.7,7.6
3,Brood,,2277,Brood Blue Band Goede Start Witbrood,100,g,226,1,11,40,1,39.7,6.5,41.5,0,300,29,84,19,2.6,0.12,4,1.43,38.5,0,0,0,0.1,,0.25,0,48,7.5,12
18,Peulvruchten,,5174,Linzen rode gekookt,100,g,110,0.6,7.7,16.1,0.4,15.7,4.8,70,0.2,295,12,124,27,2.6,0.29,11,1.37,0.2,0,0,0,0.4,10,0.046,0,74.8,5.4,8.3
3,Brood,,1395,Brood rogge- gem,100,g,197,1.3,5.9,36.4,7.6,28.8,8.2,46.2,0.1,240,33,174,57,2.6,0.19,1,1.49,65.6,0,0,0,0.9,,0.19,0,54.4,9.5,7.2
14,Kruiden en specerijen,,694,Tamarinde,100,g,301,0,3,72,10,62,0.3,23,0,570,55,110,,0.1,,,,,0,6,0,,2.8,,0,23.3,0.3,3
22,"Suiker, snoep, zoet beleg en zoete sauzen",,5064,Kikkers/muizen fondant met chocolade,100,g,393,5.3,1,84.7,77.5,7.2,0.9,7.8,0,52,7,19,13,0.5,0.15,1,0.17,0.3,1,0,0,0.2,0.3,0.002,0.04,8.7,6.2,6.3
6,Fruit,,3336,Olijven gem in water blik/glas,100,g,137,12.5,0.9,1.1,0.3,0.9,8.3,76,0.1,50,60,14,46,2.6,0.19,0,0.18,2.3,0,0,0,2,0.7,0.01,0,84.3,20.8,13.4
3,Brood,,3211,Brood volkoren- grof m diverse zaden,100,g,275,7.5,12.6,35.1,1.7,33.5,8,34.6,0.8,351,47,270,100,2.5,0.29,7,2.06,50.4,0,0,0,1.7,,0.15,0,42.6,15.5,20.1
18,Peulvruchten,,3216,Erwten split- groene gekookt,100,g,122,1.2,7.9,16.6,0.6,16,6.6,67,0,329,18,134,39,2.5,0.23,,1.02,0.3,0,0,0,0.3,9.6,0.014,0,73.6,7.8,9.1
3,Brood,,2703,Brood volkoren- gem m diverse zaden,100,g,274,7.4,12.5,35.5,1.7,33.8,7.9,34.7,0.8,319,45,273,101,2.5,0.29,6,2.08,50.4,0,0,0,1.7,,0.15,0,42.6,15.3,19.9
3,Brood,,3209,Brood volkoren- fijn m diverse zaden,100,g,273,7.3,12.3,35.8,1.7,34.1,7.8,34.7,0.8,287,44,276,103,2.5,0.29,6,2.11,50.4,0,0,0,1.7,,0.14,0,42.5,15.1,19.6
3,Brood,,2788,Brood zuurdesem- volkoren,100,g,235,2.6,9.3,40.5,2.1,38.4,6,39.7,0.1,220,32,171,62,2.5,0.27,4,1.47,54.8,0,0,0,0.2,,0.089,0,45.7,8.6,11.9
18,Peulvruchten,,5173,Bonen kidney- rode gekookt,100,g,115,0.7,8.3,13.9,0.9,13,9.8,66,0.2,446,60,167,52,2.3,0.27,5,1.26,0.1,0,0,0,0.2,5.4,0.036,0,75.8,10.5,9
3,Brood,,2804,Bol muesli- meel/volkorenmeel,100,g,290,6.6,10.7,43.9,22.7,21.2,5.8,30.9,0.1,403,63,169,58,2.3,0.35,5,1.18,48.8,0,0,0,1.4,,0.12,0,36.7,12.4,17.3
3,Brood,,3212,Brood volkoren- grof m zonnebloempitten,100,g,284,8.9,12.1,35.6,1.6,34,6.9,34.7,0.1,346,41,249,100,2.3,0.46,11,1.85,50.8,0,0,0,4.7,,0.25,0,41.6,15.8,21
11,Hartige sauzen,,2614,Salsa tomatendipsaus,100,g,45,0.2,0.9,9.3,5.3,4,1.6,88.2,0,125,10,19,12,0.5,0.01,0,0,0.2,0,1,0,0,1.1,0,0,89.8,1.8,1.1
11,Hartige sauzen,,3138,Saus ketjap-,100,g,253,0.1,1.6,61,60,1,1,37,0,2,5,2,4,0.5,0.02,0,0.02,0.9,0,0,0,0,0.2,0,0,38,1.1,1.7
22,"Suiker, snoep, zoet beleg en zoete sauzen",,2658,Pasta duo- z chocolade,100,g,567,34.9,0.8,62.5,62.2,0.3,0.1,1.8,0.5,51,37,30,5,0.1,0.01,1,0.13,1,11,0,0,10.3,8.7,0.01,0.15,1.9,35,35.7
3,Brood,,2357,Brood volkoren- gem m zonnebloempitten,100,g,283,8.7,11.9,35.9,1.6,34.3,6.8,34.8,0.1,314,40,253,102,2.3,0.46,10,1.88,50.8,0,0,0,4.7,,0.25,0,41.6,15.5,20.6
18,Peulvruchten,,5168,Bonen bruine gekookt,100,g,108,0.7,6.1,15.2,0.5,14.7,8.1,69,0.2,309,44,113,40,2.3,0.22,2,0.71,0.2,0,0,0,0.1,5.9,0.024,0,77.1,8.8,6.8
3,Brood,,3210,Brood volkoren- fijn m zonnebloempitten,100,g,282,8.6,11.7,36.2,1.6,34.6,6.7,34.9,0.1,282,38,256,103,2.3,0.46,10,1.91,50.8,0,0,0,4.7,,0.24,0,41.6,15.3,20.3
